#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ccr7	Cd80	10090.ENSMUSP00000099423	10090.ENSMUSP00000156031	0	0	0	0	0.152	0.096	0	0.819	0.849
Cd38	Il4	10090.ENSMUSP00000030964	10090.ENSMUSP00000000889	0	0	0	0	0	0	0	0.640	0.640
Cd38	Il7r	10090.ENSMUSP00000030964	10090.ENSMUSP00000003981	0	0	0	0	0.092	0	0	0.690	0.706
Cd38	Cd83	10090.ENSMUSP00000030964	10090.ENSMUSP00000015540	0	0	0	0	0.110	0	0	0.549	0.582
Cd38	Il10	10090.ENSMUSP00000030964	10090.ENSMUSP00000016673	0	0	0	0	0.116	0	0	0.681	0.706
Cd38	Cd40	10090.ENSMUSP00000030964	10090.ENSMUSP00000017799	0	0	0	0	0.113	0	0	0.702	0.724
Cd38	Csf2	10090.ENSMUSP00000030964	10090.ENSMUSP00000019060	0	0	0	0	0	0	0	0.604	0.604
Cd38	Cd4	10090.ENSMUSP00000030964	10090.ENSMUSP00000024044	0	0	0	0	0	0	0	0.864	0.864
Cd38	Tnf	10090.ENSMUSP00000030964	10090.ENSMUSP00000025263	0	0	0	0	0.099	0	0	0.675	0.694
Cd38	Il6	10090.ENSMUSP00000030964	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.786	0.788
Cd38	Il17a	10090.ENSMUSP00000030964	10090.ENSMUSP00000027061	0	0	0	0	0.064	0	0	0.604	0.613
Cd38	Il1b	10090.ENSMUSP00000030964	10090.ENSMUSP00000028881	0	0	0	0	0.121	0	0	0.520	0.560
Cd38	Il2	10090.ENSMUSP00000030964	10090.ENSMUSP00000029275	0	0	0	0	0	0	0	0.706	0.706
Cd38	Itgax	10090.ENSMUSP00000030964	10090.ENSMUSP00000033053	0	0	0	0	0.057	0	0	0.652	0.657
Cd38	Cxcr3	10090.ENSMUSP00000030964	10090.ENSMUSP00000052444	0	0	0	0	0.093	0.052	0	0.652	0.675
Cd38	Foxp3	10090.ENSMUSP00000030964	10090.ENSMUSP00000111405	0	0	0	0	0	0	0	0.690	0.690
Cd38	Ifng	10090.ENSMUSP00000030964	10090.ENSMUSP00000063800	0	0	0	0	0.127	0	0	0.725	0.750
Cd38	Cd80	10090.ENSMUSP00000030964	10090.ENSMUSP00000156031	0	0	0	0	0.089	0.104	0	0.780	0.805
Cd38	Ptprc	10090.ENSMUSP00000030964	10090.ENSMUSP00000138350	0	0	0	0	0.137	0	0	0.805	0.824
