#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ctla4	Il17a	10090.ENSMUSP00000027164	10090.ENSMUSP00000027061	0	0	0	0	0.100	0	0	0.836	0.846
Ctla4	Mog	10090.ENSMUSP00000027164	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.457	0.457
Ctla4	Cxcl1	10090.ENSMUSP00000027164	10090.ENSMUSP00000031327	0	0	0	0	0.045	0	0	0.479	0.481
Ctla4	Il22	10090.ENSMUSP00000027164	10090.ENSMUSP00000094449	0	0	0	0	0.061	0	0	0.520	0.530
Ctla4	Mtor	10090.ENSMUSP00000027164	10090.ENSMUSP00000099510	0	0	0	0	0.053	0	0	0.554	0.559
Ctla4	Ifnb1	10090.ENSMUSP00000027164	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.601	0.601
Ctla4	Stat5a	10090.ENSMUSP00000027164	10090.ENSMUSP00000102980	0	0	0	0	0.050	0.084	0	0.645	0.664
Ctla4	Sell	10090.ENSMUSP00000027164	10090.ENSMUSP00000027871	0	0	0	0	0.093	0	0	0.744	0.758
Ctla4	Ido2	10090.ENSMUSP00000027164	10090.ENSMUSP00000113979	0	0	0	0	0.080	0	0	0.752	0.762
Ctla4	Ido1	10090.ENSMUSP00000027164	10090.ENSMUSP00000033956	0	0	0	0	0.086	0	0	0.845	0.853
Ctla4	Tnfrsf18	10090.ENSMUSP00000027164	10090.ENSMUSP00000099462	0	0	0	0	0.215	0	0	0.876	0.899
Ctla4	Ifng	10090.ENSMUSP00000027164	10090.ENSMUSP00000063800	0	0	0	0	0.221	0	0	0.883	0.905
Ctla4	Foxp3	10090.ENSMUSP00000027164	10090.ENSMUSP00000111405	0	0	0	0	0.280	0.292	0	0.887	0.937
Cxcl1	Il4	10090.ENSMUSP00000031327	10090.ENSMUSP00000000889	0	0	0	0	0.053	0	0	0.740	0.743
Cxcl1	Il10	10090.ENSMUSP00000031327	10090.ENSMUSP00000016673	0	0	0	0	0.128	0	0	0.825	0.841
Cxcl1	Tnf	10090.ENSMUSP00000031327	10090.ENSMUSP00000025263	0	0	0	0	0.404	0	0	0.853	0.908
Cxcl1	Il6	10090.ENSMUSP00000031327	10090.ENSMUSP00000026845	0	0	0	0	0.605	0	0	0.884	0.952
Cxcl1	Il17a	10090.ENSMUSP00000031327	10090.ENSMUSP00000027061	0	0	0	0	0.059	0	0	0.886	0.888
Cxcl1	Sell	10090.ENSMUSP00000031327	10090.ENSMUSP00000027871	0	0	0	0	0.051	0	0	0.512	0.517
Cxcl1	Stat5a	10090.ENSMUSP00000031327	10090.ENSMUSP00000102980	0	0	0	0	0.047	0	0	0.432	0.435
Cxcl1	Ido1	10090.ENSMUSP00000031327	10090.ENSMUSP00000033956	0	0	0	0	0.052	0	0	0.490	0.495
Cxcl1	Foxp3	10090.ENSMUSP00000031327	10090.ENSMUSP00000111405	0	0	0	0	0.064	0	0	0.554	0.564
Cxcl1	Ifnb1	10090.ENSMUSP00000031327	10090.ENSMUSP00000056720	0	0	0	0	0.107	0	0	0.652	0.675
Cxcl1	Il22	10090.ENSMUSP00000031327	10090.ENSMUSP00000094449	0	0	0	0	0.053	0	0	0.721	0.725
Cxcl1	Ifng	10090.ENSMUSP00000031327	10090.ENSMUSP00000063800	0	0	0	0	0.111	0	0	0.846	0.857
Cyp27b1	Il10	10090.ENSMUSP00000130005	10090.ENSMUSP00000016673	0	0	0	0	0.047	0	0	0.440	0.443
Cyp27b1	Tnf	10090.ENSMUSP00000130005	10090.ENSMUSP00000025263	0	0	0	0	0.044	0	0	0.460	0.461
Cyp27b1	Il6	10090.ENSMUSP00000130005	10090.ENSMUSP00000026845	0	0	0	0	0.052	0	0	0.440	0.446
Cyp27b1	Ifng	10090.ENSMUSP00000130005	10090.ENSMUSP00000063800	0	0	0	0	0	0	0	0.458	0.457
Foxp3	Il4	10090.ENSMUSP00000111405	10090.ENSMUSP00000000889	0	0	0	0	0.116	0	0	0.890	0.899
Foxp3	Il10	10090.ENSMUSP00000111405	10090.ENSMUSP00000016673	0	0	0	0	0.160	0	0	0.919	0.929
Foxp3	Tnf	10090.ENSMUSP00000111405	10090.ENSMUSP00000025263	0	0	0	0	0.064	0.093	0	0.853	0.865
Foxp3	Il6	10090.ENSMUSP00000111405	10090.ENSMUSP00000026845	0	0	0	0	0	0.292	0	0.864	0.900
Foxp3	Il17a	10090.ENSMUSP00000111405	10090.ENSMUSP00000027061	0	0	0	0	0.093	0	0	0.893	0.899
Foxp3	Sell	10090.ENSMUSP00000111405	10090.ENSMUSP00000027871	0	0	0	0	0.071	0	0	0.856	0.861
Foxp3	Ido1	10090.ENSMUSP00000111405	10090.ENSMUSP00000033956	0	0	0	0	0.068	0	0	0.836	0.841
Foxp3	Ifnb1	10090.ENSMUSP00000111405	10090.ENSMUSP00000056720	0	0	0	0	0	0	0	0.607	0.607
Foxp3	Ifng	10090.ENSMUSP00000111405	10090.ENSMUSP00000063800	0	0	0	0	0.112	0.293	0	0.920	0.945
Foxp3	Il22	10090.ENSMUSP00000111405	10090.ENSMUSP00000094449	0	0	0	0	0	0	0	0.763	0.763
Foxp3	Tnfrsf18	10090.ENSMUSP00000111405	10090.ENSMUSP00000099462	0	0	0	0	0.137	0.292	0	0.859	0.906
Foxp3	Mtor	10090.ENSMUSP00000111405	10090.ENSMUSP00000099510	0	0	0	0	0	0.051	0	0.606	0.610
Foxp3	Mog	10090.ENSMUSP00000111405	10090.ENSMUSP00000099726	0	0	0	0	0	0	0	0.724	0.724
Foxp3	Stat5a	10090.ENSMUSP00000111405	10090.ENSMUSP00000102980	0	0	0	0	0.045	0	0	0.743	0.744
Foxp3	Ido2	10090.ENSMUSP00000111405	10090.ENSMUSP00000113979	0	0	0	0	0.091	0	0	0.762	0.774
Gpx4	Tnf	10090.ENSMUSP00000094863	10090.ENSMUSP00000025263	0	0	0	0	0	0	0	0.484	0.483
Gpx4	Il6	10090.ENSMUSP00000094863	10090.ENSMUSP00000026845	0	0	0	0	0	0	0	0.464	0.464
Ido1	Il4	10090.ENSMUSP00000033956	10090.ENSMUSP00000000889	0	0	0	0	0.066	0	0	0.707	0.714
Ido1	Il10	10090.ENSMUSP00000033956	10090.ENSMUSP00000016673	0	0	0	0	0.063	0	0	0.873	0.876
Ido1	Tnf	10090.ENSMUSP00000033956	10090.ENSMUSP00000025263	0	0	0	0	0.098	0	0	0.791	0.803
Ido1	Il6	10090.ENSMUSP00000033956	10090.ENSMUSP00000026845	0	0	0	0	0.084	0	0	0.785	0.794
